id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_since_days(how many days since home is as airbnb),first_reviewed(how many days between first review to last scraped date),last_reviewed(how many days between last review to last scraped date)
20500529,1.575428333,0.917160468,0.877953436,0,1,1,1,1,38.93596,-77.04595,Entire apartment,Entire home/apt,4,1,2,1.973127854,2,1125,2,2,1125,1125,2,1125,1,0,0,0,0,16,0,0,95,10,9,10,10,10,10,0,1,1,0,0,0.47,1837,1028,885
20503212,1,1,0.92,1,5,5,1,1,38.89747,-77.04666,Entire condominium,Entire home/apt,2,1.449906367,2,1.903089987,30,1000,30,30,1000,1000,30,1000,1,0,0,0,0,4,2,0,100,10,10,10,10,10,10,0,5,3,2,0,0.18,3410,652,152
20505309,1,1,0.877953436,0,1,1,1,0,38.92277,-76.95953,Private room in townhouse,Private room,6,1,2,2.414973348,2,30,2,2,30,30,2,30,1,30,60,90,180,2,0,0,80,6,10,10,6,10,10,0,1,0,1,0,0.05,3139,1138,1098
20515819,1,1,1,0,3,3,1,1,38.84614,-76.99864,Private room in house,Private room,2,1,1,1.785329835,1,1125,1,1,1125,1125,1,1125,1,26,56,86,176,272,70,6,90,9,9,9,9,9,9,1,3,0,3,0,7.08,1166,1152,10
20520153,3,0.5,0.85,1,1,1,1,1,38.89083,-76.99885,Entire apartment,Entire home/apt,2,1,1,2.086359831,3,14,3,3,14,14,3,14,1,0,22,52,52,68,6,0,97,10,10,10,10,10,10,1,1,1,0,0,1.8,1991,1133,221
20520549,1,1,1,0,3,3,1,1,38.84656,-76.99915,Private room in townhouse,Private room,2,1,1,1.812913357,1,1125,1,1,1125,1125,1,1125,1,29,59,89,179,241,57,3,92,9,9,9,9,9,9,1,3,0,3,0,6.22,1166,1161,6
20521864,1.575428333,0.917160468,0.877953436,1,1,1,1,1,38.91221,-77.08612,Entire guest suite,Entire home/apt,2,1,2,1.954242509,3,1125,3,3,1125,1125,3,1125,1,0,0,0,0,69,0,0,97,10,10,10,10,10,10,1,1,1,0,0,1.8,1164,1150,464
20534938,1,0.97,0.99,0,42,42,1,1,38.87787,-76.98929,Room in hostel,Hotel room,4,1,4,1.977723605,1,30,1,1,30,30,1,30,1,29,59,87,362,29,7,0,94,9,9,10,10,10,9,1,42,0,3,19,0.77,1163,1126,251
20535352,1.575428333,0.917160468,0.877953436,0,1,1,1,0,38.92134,-77.0127,Entire apartment,Entire home/apt,2,1,1,1.934498451,10,90,10,10,1125,1125,10,1125,1,0,0,0,222,45,8,1,98,10,10,10,10,10,10,1,1,1,0,0,1.2,1729,1126,14
20536628,2,1,0.92,1,1,1,1,1,38.95377,-76.99662,Private room in townhouse,Private room,2,1,1,1.84509804,3,1125,3,3,1125,1125,3,1125,1,22,52,82,262,54,1,0,96,10,10,10,10,10,10,1,1,0,1,0,1.42,1710,1139,279
